transaction_id,date,year,month,publisher,game_name,base_price,discount_percent,sale_price,quantity,total_revenue
TXN0000000,2022-01-01,2022,1,Spike,Fushigi no Dungeon: Fuurai no Shiren 4 - Kami no Hitomi to Akuma no Heso,9.27,0,9.27,2,18.53
TXN0000001,2022-01-01,2022,1,Deep Silver,Onrush,16.46,25,12.35,1,12.35
TXN0000002,2022-01-01,2022,1,Atlus,Izuna 2: The Unemployed Ninja Returns (JP sales),16.44,0,16.44,1,16.44
TXN0000003,2022-01-01,2022,1,Codemasters,Clive Barker's Jericho,16.14,30,11.29,1,11.29
TXN0000004,2022-01-01,2022,1,Activision,History Channel: Battle for the Pacific,16.30,40,9.78,1,9.78
TXN0000005,2022-01-01,2022,1,Westwood Studios,Command & Conquer: Red Alert,16.46,10,14.82,2,29.64
TXN0000006,2022-01-01,2022,1,Capcom,Resident Evil VII: Biohazard,16.71,10,15.04,1,15.04
TXN0000007,2022-01-01,2022,1,Capcom,Street Fighter Alpha 3,19.95,0,19.95,1,19.95
TXN0000008,2022-01-01,2022,1,Sega,Sonic & Sega All-Stars Racing Transformed,18.72,10,16.85,1,16.85
TXN0000009,2022-01-01,2022,1,989 Studios,3Xtreme,13.90,15,11.81,1,11.81
TXN0000010,2022-01-01,2022,1,Little Orbit,Barbie and Her Sisters Puppy Rescue,13.01,10,11.71,1,11.71
TXN0000011,2022-01-01,2022,1,Aquaplus,To Heart 2 DX Plus,8.59,20,6.87,1,6.87
TXN0000012,2022-01-01,2022,1,Nintendo,Qix,5.47,15,4.65,1,4.65
TXN0000013,2022-01-01,2022,1,Capcom,Full House Kiss 2,16.20,0,16.20,1,16.20
TXN0000014,2022-01-02,2022,1,Mentor Interactive,My Virtual Tutor: Reading Adventure Kindergarten to First,9.46,25,7.10,3,21.29
TXN0000015,2022-01-02,2022,1,Gotham Games,Dora the Explorer: Super Spies,13.53,50,6.77,1,6.77
TXN0000016,2022-01-02,2022,1,EA Sports,FIFA Soccer 2005,13.01,30,9.11,1,9.11
TXN0000017,2022-01-02,2022,1,Crave Entertainment,Mojo!,18.40,15,15.64,1,15.64
TXN0000018,2022-01-02,2022,1,Disney Interactive Studios,Disney Stitch Jam,18.02,0,18.02,1,18.02
TXN0000019,2022-01-02,2022,1,Nintendo,Mario Tennis Aces,15.86,0,15.86,1,15.86
TXN0000020,2022-01-02,2022,1,Namco Bandai Games,God Eater 2: Rage Burst,17.14,0,17.14,1,17.14
TXN0000021,2022-01-02,2022,1,Disney Interactive Studios,Disney Tangled,17.00,20,13.60,1,13.60
TXN0000022,2022-01-02,2022,1,Sega,Sonic Riders: Zero Gravity,15.07,0,15.07,1,15.07
TXN0000023,2022-01-02,2022,1,Activision,Spider-Man 2,16.91,25,12.68,1,12.68
TXN0000024,2022-01-02,2022,1,Sony Interactive Entertainment,MLB The Show 17,18.31,20,14.65,1,14.65
TXN0000025,2022-01-02,2022,1,Electronic Arts,Plants vs Zombies: Garden Warfare,21.23,20,16.99,1,16.99
TXN0000026,2022-01-02,2022,1,Activision,Call of Duty: Modern Warfare 3,6.75,25,5.06,1,5.06
TXN0000027,2022-01-02,2022,1,D3 Publisher,Vitamin X Evolution Plus,9.33,25,7.00,1,7.00
TXN0000028,2022-01-02,2022,1,Atari,Totally Spies! 2: Undercover,17.89,20,14.31,1,14.31
TXN0000029,2022-01-02,2022,1,Atari,Sam & Max: Beyond Time and Space,7.62,0,7.62,2,15.24
